timestamp,user_id,email,login_duration_hours,file_access_count,usb_plug_count,usb_total_duration_min,email_total_count,email_suspicious_count,email_suspicious_ratio,out_of_session_count,has_confidential,has_urgent,has_password,has_secret,has_invoice,has_transfer,anomaly_score,is_red_team
2025-12-19 14:10:56,user1,user1@gmail.com,7.4,32,0,0,26,2,0.077,0,0,1,0,0,0,0,0.24,0
2025-12-19 14:10:56,user2,user2@gmail.com,10.1,105,2,176,55,8,0.145,4,1,1,1,0,1,0,0.88,1
2025-12-19 14:10:56,user3,user3@gmail.com,7.5,32,0,0,21,2,0.095,0,0,0,0,0,0,0,0.28,0
2025-12-19 14:10:56,user4,user4@gmail.com,8.1,29,0,0,23,1,0.043,0,0,0,0,0,0,0,0.06,0
2025-12-19 14:10:56,user5,user5@gmail.com,8.8,41,0,0,31,0,0.0,0,0,0,0,1,1,0,0.23,0
2025-12-19 14:10:56,user6,user6@gmail.com,7.8,46,0,0,22,2,0.091,0,0,0,0,0,0,0,0.1,0
2025-12-19 14:10:56,user7,user7@gmail.com,8.9,51,0,0,23,1,0.043,1,0,0,0,0,0,0,0.28,0
2025-12-19 14:10:56,user8,user8@gmail.com,11.1,103,5,144,53,7,0.132,2,0,0,0,0,0,1,0.98,1
2025-12-19 14:10:56,user9,user9@gmail.com,7.9,22,0,0,29,2,0.069,0,0,0,0,0,0,0,0.09,0
2025-12-19 14:10:56,user10,user10@gmail.com,9.5,83,3,91,53,5,0.094,2,1,1,1,0,1,0,0.96,1
2025-12-19 14:10:56,user11,user11@gmail.com,10.4,111,3,97,49,8,0.163,3,1,1,0,1,0,0,0.9,1
2025-12-19 14:10:56,user12,user12@gmail.com,10.6,98,4,156,62,3,0.048,1,1,1,0,1,0,0,0.75,1
2025-12-19 14:10:56,user13,user13@gmail.com,9.1,45,0,0,30,1,0.033,0,0,0,0,0,0,0,0.17,0
2025-12-19 14:10:56,user14,user14@gmail.com,9.9,99,2,182,65,7,0.108,2,1,1,0,0,1,1,0.87,1
2025-12-19 14:10:56,user15,user15@gmail.com,9.6,38,1,17,23,0,0.0,0,0,0,0,0,0,0,0.35,0
2025-12-19 14:10:56,user16,user16@gmail.com,8.6,18,0,0,24,2,0.083,0,0,0,0,0,0,0,0.08,0
2025-12-19 14:10:56,user17,user17@gmail.com,7.8,44,0,0,19,2,0.105,0,0,0,0,0,0,0,0.29,0
2025-12-19 14:10:56,user18,user18@gmail.com,8.9,58,1,21,27,0,0.0,0,0,0,0,0,0,0,0.07,0
2025-12-19 14:10:56,user19,user19@gmail.com,11.9,100,5,104,70,6,0.086,2,1,1,1,1,1,1,0.95,1
2025-12-19 14:10:56,user20,user20@gmail.com,10.7,99,3,120,41,7,0.171,2,1,1,1,1,1,1,0.76,1
2025-12-19 14:10:56,user21,user21@gmail.com,9.3,45,0,0,24,1,0.042,0,0,0,0,0,0,0,0.18,0
2025-12-19 14:10:56,user22,user22@gmail.com,7.4,10,0,0,27,2,0.074,0,0,0,0,0,1,0,0.31,0
2025-12-19 14:10:56,user23,user23@gmail.com,8.6,57,0,0,21,2,0.095,0,0,0,0,0,0,0,0.27,0
2025-12-19 14:10:56,user24,user24@gmail.com,9.5,84,2,161,41,6,0.146,2,1,1,1,0,1,0,0.79,1
2025-12-19 14:10:56,user25,user25@gmail.com,8.8,16,0,0,22,2,0.091,0,0,0,0,0,0,0,0.34,0
2025-12-19 14:10:56,user26,user26@gmail.com,8.5,20,0,0,30,2,0.067,0,0,0,0,0,0,0,0.12,0
2025-12-19 14:10:56,user27,user27@gmail.com,9.6,71,2,93,44,3,0.068,2,1,0,1,1,1,0,0.9,1
2025-12-19 14:10:56,user28,user28@gmail.com,9.4,27,1,24,24,2,0.083,0,0,0,0,0,1,0,0.35,0
2025-12-19 14:10:56,user29,user29@gmail.com,8.8,30,1,21,30,1,0.033,0,0,0,0,0,0,0,0.23,0
2025-12-19 14:10:56,user30,user30@gmail.com,9.7,54,0,0,23,2,0.087,0,0,0,0,0,0,0,0.26,0
