timestamp,user_id,email,login_duration_hours,file_access_count,usb_plug_count,usb_total_duration_min,email_total_count,email_suspicious_count,email_suspicious_ratio,out_of_session_count,has_confidential,has_urgent,has_password,has_secret,has_invoice,has_transfer,anomaly_score,is_red_team
2025-12-19 14:12:00,user1,user1@gmail.com,11.1,84,3,189,56,5,0.089,2,1,1,1,1,1,0,0.94,1
2025-12-19 14:12:00,user2,user2@gmail.com,11.1,92,2,113,68,7,0.103,4,1,1,1,1,0,1,0.75,1
2025-12-19 14:12:00,user3,user3@gmail.com,8.8,37,1,30,32,0,0.0,0,0,1,0,0,0,0,0.24,0
2025-12-19 14:12:00,user4,user4@gmail.com,8.9,40,0,0,26,1,0.038,0,0,0,0,0,0,0,0.32,0
2025-12-19 14:12:00,user5,user5@gmail.com,8.7,52,1,18,28,1,0.036,0,0,0,0,0,0,0,0.24,0
2025-12-19 14:12:00,user6,user6@gmail.com,9.2,40,1,38,27,1,0.037,0,1,0,0,0,0,0,0.32,0
2025-12-19 14:12:00,user7,user7@gmail.com,10.3,110,5,140,50,3,0.06,1,1,0,1,0,0,0,0.83,1
2025-12-19 14:12:00,user8,user8@gmail.com,9.0,45,0,0,11,2,0.182,0,0,0,0,0,0,0,0.13,0
2025-12-19 14:12:00,user9,user9@gmail.com,8.9,31,0,0,19,2,0.105,1,1,0,0,1,1,0,0.08,0
2025-12-19 14:12:00,user10,user10@gmail.com,9.0,24,0,0,19,1,0.053,0,0,0,0,0,0,0,0.34,0
2025-12-19 14:12:00,user11,user11@gmail.com,8.3,16,1,19,38,2,0.053,0,0,1,0,0,0,0,0.24,0
2025-12-19 14:12:00,user12,user12@gmail.com,8.5,47,0,0,14,0,0.0,0,0,0,0,0,0,0,0.11,0
2025-12-19 14:12:00,user13,user13@gmail.com,9.1,47,1,28,28,1,0.036,0,0,0,0,1,0,0,0.29,0
2025-12-19 14:12:00,user14,user14@gmail.com,9.9,98,3,167,57,6,0.105,2,1,1,0,1,1,1,0.88,1
2025-12-19 14:12:00,user15,user15@gmail.com,8.5,21,0,0,21,1,0.048,0,0,0,0,0,0,0,0.19,0
2025-12-19 14:12:00,user16,user16@gmail.com,9.5,80,5,196,57,8,0.14,1,1,0,1,1,1,1,0.8,1
2025-12-19 14:12:00,user17,user17@gmail.com,8.4,40,0,0,17,1,0.059,0,0,0,0,0,0,0,0.1,0
2025-12-19 14:12:00,user18,user18@gmail.com,8.0,27,0,0,26,0,0.0,0,0,0,0,0,1,0,0.3,0
2025-12-19 14:12:00,user19,user19@gmail.com,7.6,35,0,0,20,0,0.0,0,0,0,0,0,0,0,0.26,0
2025-12-19 14:12:00,user20,user20@gmail.com,8.5,48,0,0,33,1,0.03,0,1,0,0,0,0,0,0.28,0
2025-12-19 14:12:00,user21,user21@gmail.com,8.5,22,0,0,25,1,0.04,0,0,0,0,0,0,0,0.29,0
2025-12-19 14:12:00,user22,user22@gmail.com,7.1,22,0,0,16,0,0.0,0,0,0,0,0,1,1,0.16,0
2025-12-19 14:12:00,user23,user23@gmail.com,7.3,36,1,33,25,0,0.0,0,0,1,0,0,0,0,0.22,0
2025-12-19 14:12:00,user24,user24@gmail.com,9.2,38,0,0,13,1,0.077,0,0,0,0,0,0,0,0.13,0
2025-12-19 14:12:00,user25,user25@gmail.com,7.0,32,0,0,41,2,0.049,0,0,0,0,0,0,0,0.23,0
2025-12-19 14:12:00,user26,user26@gmail.com,11.1,90,2,148,67,6,0.09,2,1,1,0,0,0,1,0.98,1
2025-12-19 14:12:00,user27,user27@gmail.com,7.2,22,0,0,26,0,0.0,0,0,0,1,0,0,0,0.06,0
2025-12-19 14:12:00,user28,user28@gmail.com,7.8,20,1,39,26,2,0.077,0,0,0,0,0,0,0,0.13,0
2025-12-19 14:12:00,user29,user29@gmail.com,9.9,112,2,174,59,4,0.068,3,1,1,1,1,1,0,0.97,1
2025-12-19 14:12:00,user30,user30@gmail.com,7.7,34,1,27,16,1,0.062,0,0,0,0,0,0,0,0.13,0
